Country,Site,Latitude (N),No.,Shoot biomass,L-Area (cm),L-SLA,Height (cm),Inflorescence length (cm),Seed setting (%),,,,,,,,
USA,Sapelo island,31.389366,9,71.846,53,0.016981132,265.3333333,34.08333333,4.087285521,,,,,,,,
USA,Sapelo island,31.389366,10,73.846,52.25,0.022966507,212.6666667,33.66666667,2.591655235,,,,,,,,
USA, ACE basin,32.553055,1,27.776,37.05,0.014035088,198,32.66666667,6.971141915,,,,,,,,
USA, ACE basin,32.553055,2,22.926,33,0.016060606,178,29.75,15.67785342,,,,,,,,
USA, ACE basin,32.553055,3,29.996,41.6,0.016826923,196.6666667,34.91666667,3.899653651,,,,,,,,
USA, ACE basin,32.553055,4,31.826,37.8,0.013492063,196.6666667,31.5,5.259963656,,,,,,,,
USA, ACE basin,32.553055,5,88.636,65.55,0.002745995,281.3333333,34,3.250106072,,,,,,,,
USA, ACE basin,32.553055,6,41.956,34.3,0.016909621,237.6666667,30.91666667,6.880297711,,,,,,,,
USA, ACE basin,32.553055,7,42.426,38.5,0.016103896,197,35.75,0.458774325,,,,,,,,
USA, ACE basin,32.553055,8,50.006,47.6,0.012184874,235.3333333,31.5,5.579092752,,,,,,,,
USA, ACE basin,32.553055,9,45.026,55.2,0.016666667,200.6666667,31,5.727651766,,,,,,,,
USA, ACE basin,32.553055,10,31.496,51,0.014509804,187.3333333,29.58333333,8.594287585,,,,,,,,
USA,Murrells inlef,33.583031,1,26.076,33.8,0.015088757,179.6666667,28.83333333,5.428226502,,,,,,,,
USA,Murrells inlef,33.583031,2,18.726,32.175,0.016161616,152.3333333,28.75,5.615682899,,,,,,,,
USA,Murrells inlef,33.583031,3,25.166,24.9,0.016465863,179.3333333,24.5,26.58124059,,,,,,,,
USA,Murrells inlef,33.583031,4,21.896,19.8,0.015151515,185,25.33333333,19.63257576,,,,,,,,
USA,Murrells inlef,33.583031,5,19.006,41.6,0.014663462,161.3333333,30.33333333,17.42060755,,,,,,,,
USA,Murrells inlef,33.583031,6,32.816,33.75,0.015111111,196,29.66666667,10.90161749,,,,,,,,
USA,Murrells inlef,33.583031,7,27.476,40.8,0.01495098,193,28.58333333,3.806156462,,,,,,,,
USA,Murrells inlef,33.583031,8,27.566,34.5,0.017391304,178.3333333,22.83333333,1.229455816,,,,,,,,
USA,Murrells inlef,33.583031,9,20.846,20.475,0.016117216,165,28.58333333,15.83670301,,,,,,,,
USA,Murrells inlef,33.583031,10,22.916,27.5,0.017090909,198,29.41666667,5.865830142,,,,,,,,
USA,Duke,34.706661,1,6.736,14.85,0.013468013,147.6666667,21.66666667,0.970961954,,,,,,,,
USA,Duke,34.706661,2,8.296,20.25,0.014320988,131.6666667,29.66666667,5.965642432,,,,,,,,
USA,Duke,34.706661,3,10.196,24,0.017083333,155,27.5,5.192442149,,,,,,,,
USA,Duke,34.706661,4,6.516,15.3,0.012418301,116,24.16666667,4.75853491,,,,,,,,
USA,Duke,34.706661,5,8.346,9.225,0.010840108,121,23,10.98939698,,,,,,,,
USA,Duke,34.706661,6,8.296,11.8,0.012711864,134,25.83333333,5.519082489,,,,,,,,
USA,Duke,34.706661,7,12.386,16.875,0.01362963,153,23.66666667,7.821983775,,,,,,,,
USA,Duke,34.706661,8,19.656,18.525,0.014035088,145.3333333,26.08333333,13.17590742,,,,,,,,
USA,Duke,34.706661,9,8.956,25.575,0.015249267,137,26,6.116753399,,,,,,,,
USA,Duke,34.706661,10,11.706,17,0.015882353,145.3333333,24.25,2.781658174,,,,,,,,
USA,Virginia,37.470112,1,11.826,28.2,0.013475177,175.6666667,20.5,30.11763951,,,,,,,,
USA,Virginia,37.470112,2,12.086,31.8,0.01918239,163.6666667,21.75,17.70216921,,,,,,,,
USA,Virginia,37.470112,3,6.376,7.7,0.011688312,136.3333333,20.16666667,25.22228189,,,,,,,,
USA,Virginia,37.470112,4,7.116,19.8,0.019191919,120,21.91666667,5.998271656,,,,,,,,
USA,Virginia,37.470112,5,9.496,26.95,0.019666048,153.6666667,25.66666667,26.00374148,,,,,,,,
USA,Virginia,37.470112,6,13.856,27.3,0.020512821,169,18,31.7221183,,,,,,,,
USA,Virginia,37.470112,7,6.616,15.95,0.019435737,158.3333333,22.58333333,10.92735967,,,,,,,,
USA,Virginia,37.470112,8,6.226,11.9,0.015966387,138,23,0.181293291,,,,,,,,
USA,Virginia,37.470112,9,6.676,17.05,0.015249267,121.3333333,19.08333333,27.24128592,,,,,,,,
USA,Virginia,37.470112,10,8.546,18.7,0.017647059,137.3333333,20.33333333,12.43507602,,,,,,,,
USA,Lewes,38.802219,1,25.836,44.625,0.013221289,190.6666667,25,27.2802812,,,,,,,,
USA,Lewes,38.802219,2,15.756,21.42,0.011671335,170.6666667,25.5,17.75875065,,,,,,,,
USA,Lewes,38.802219,3,9.276,33.66,0.014557338,156.6666667,26.33333333,12.78656141,,,,,,,,
USA,Lewes,38.802219,4,17.716,29.205,0.014723506,202,25.58333333,27.95149572,,,,,,,,
USA,Lewes,38.802219,5,21.536,36.96,0.015692641,197.3333333,23.91666667,26.68784033,,,,,,,,
USA,Lewes,38.802219,6,10.356,25.85,0.015473888,152.3333333,21.08333333,25.6221689,,,,,,,,
USA,Lewes,38.802219,7,13.396,31.02,0.013217279,156.6666667,28.91666667,40.30748369,,,,,,,,
USA,Lewes,38.802219,8,19.866,40.88,0.014677104,164,20.83333333,47.68398855,,,,,,,,
USA,Lewes,38.802219,9,33.796,43.775,0.017589949,193.3333333,29.16666667,23.22954768,,,,,,,,
USA,Lewes,38.802219,10,12.276,31.405,0.016876294,158,34.66666667,60.63444288,,,,,,,,
USA,Tuckerton,39.562687,1,9.446,26.95,0.012244898,151,23,1.335345894,,,,,,,,
USA,Tuckerton,39.562687,2,11.856,27.9,0.013620072,155.6666667,23,25.85965938,,,,,,,,
USA,Tuckerton,39.562687,3,8.376,36,0.015277778,148.3333333,23.58333333,13.6086321,,,,,,,,
USA,Tuckerton,39.562687,4,9.326,37.1,0.014555256,150.6666667,23.33333333,18.34129164,,,,,,,,
USA,Tuckerton,39.562687,5,4.426,12.8,0.0140625,121.6666667,22.33333333,20.85955544,,,,,,,,
USA,Tuckerton,39.562687,6,19.866,35.1,0.016239316,158.6666667,25.41666667,30.66027192,,,,,,,,
USA,Tuckerton,39.562687,7,5.086,21.5,0.012093023,118.3333333,25.5,11.58497672,,,,,,,,
USA,Tuckerton,39.562687,8,6.916,22,0.015454545,154.6666667,24.91666667,13.95008569,,,,,,,,
USA,Tuckerton,39.562687,9,5.956,25,0.014,136.6666667,28.58333333,23.03333257,,,,,,,,
USA,Tuckerton,39.562687,10,9.026,32.45,0.016024653,139,27.75,30.62413729,,,,,,,,
USA,Sand hook,40.425919,1,17.066,47.2,0.01440678,181.6666667,30.5,7.986676842,,,,,,,,
USA,Sand hook,40.425919,2,10.626,31.35,0.014354067,186.3333333,28.41666667,24.63150309,,,,,,,,
USA,Sand hook,40.425919,3,11.806,31.85,0.011616954,182.6666667,34.75,15.13861475,,,,,,,,
USA,Sand hook,40.425919,4,9.306,23.5,0.012340426,183.6666667,36.83333333,8.117058703,,,,,,,,
USA,Sand hook,40.425919,5,12.756,31.2,0.023076923,181,33.58333333,19.86965633,,,,,,,,
USA,Sand hook,40.425919,6,11.326,33.6,0.014880952,200.6666667,38,17.97425916,,,,,,,,
USA,Sand hook,40.425919,7,19.806,42.75,0.01497076,210,34.83333333,26.63366697,,,,,,,,
USA,Sand hook,40.425919,8,20.566,48,0.015416667,191.6666667,36.5,18.01011419,,,,,,,,
USA,Sand hook,40.425919,9,23.236,41.6,0.015384615,211.6666667,30.91666667,5.338859269,,,,,,,,
USA,Sand hook,40.425919,10,12.626,35.1,0.016239316,204,36.25,15.62205329,,,,,,,,
USA,Portsmouth,41.653904,1,6.226,16.5,0.013939394,151.3333333,20.5,15.10945071,,,,,,,,
USA,Portsmouth,41.653904,2,4.256,20.925,0.015770609,130.6666667,23.41666667,9.411610165,,,,,,,,
USA,Portsmouth,41.653904,3,9.226,24.75,0.014141414,144.6666667,20.66666667,24.80968584,,,,,,,,
USA,Portsmouth,41.653904,4,5.356,24,0.012916667,145,21.66666667,7.427293373,,,,,,,,
USA,Portsmouth,41.653904,5,8.346,21.25,0.016,151,23.16666667,25.24783586,,,,,,,,
USA,Portsmouth,41.653904,6,4.826,16.8,0.010714286,134,25.41666667,12.42242109,,,,,,,,
USA,Portsmouth,41.653904,7,7.176,14.8,0.012837838,151,23.5,18.55931514,,,,,,,,
USA,Portsmouth,41.653904,8,6.786,19.35,0.01498708,135.6666667,22.66666667,15.35671154,,,,,,,,
USA,Portsmouth,41.653904,9,4.606,25.65,0.014035088,132.3333333,25.16666667,35.87389797,,,,,,,,
USA,Portsmouth,41.653904,10,5.126,30.25,0.011570248,145.6666667,24.91666667,18.25858938,,,,,,,,
USA,Plum,42.797222,1,3.996,16.975,0.016494845,147.6666667,26.33333333,2.5,,,,,,,,
USA,Plum,42.797222,2,10.486,46.55,0.012459721,157,24.33333333,2.732240437,,,,,,,,
USA,Plum,42.797222,3,5.356,17,0.016470588,155,24.25,0,,,,,,,,
USA,Plum,42.797222,4,6.396,27.3,0.014652015,133.3333333,25.91666667,22.93766901,,,,,,,,
USA,Plum,42.797222,5,7.756,26.55,0.012806026,173,22.41666667,19.79251806,,,,,,,,
USA,Plum,42.797222,6,6.066,33.55,0.013412817,132.6666667,29,0.57349714,,,,,,,,
USA,Plum,42.797222,7,6.086,29,0.014137931,109.3333333,26.66666667,15.98183323,,,,,,,,
USA,Plum,42.797222,8,3.826,18.9,0.013756614,128.3333333,27.66666667,7.139604679,,,,,,,,
USA,Plum,42.797222,9,6.546,26.1,0.016475096,145.6666667,30.5,1.434316645,,,,,,,,
USA,Plum,42.797222,10,7.586,32.5,0.011692308,155.6666667,26.25,1.517924174,,,,,,,,
USA,Wells,43.322155,1,1.726,16.45,0.013981763,97.66666667,24.33333333,4.876109373,,,,,,,,
USA,Wells,43.322155,2,3.756,14.6625,0.014322251,120.6666667,25.83333333,5.666399751,,,,,,,,
USA,Wells,43.322155,3,2.396,23.5,0.009361702,100.3333333,27.16666667,3.347280335,,,,,,,,
USA,Wells,43.322155,4,1.816,17.85,0.00952381,79,20.5,0.75,,,,,,,,
USA,Wells,43.322155,5,2.126,21,0.008571429,101.3333333,29.58333333,2.678609208,,,,,,,,
USA,Wells,43.322155,6,6.866,39,0.012051282,153,22.16666667,12.19512195,,,,,,,,
USA,Wells,43.322155,7,6.826,35.1,0.013675214,153.3333333,16.68333333,9.254063285,,,,,,,,
USA,Wells,43.322155,8,3.686,28.5,0.012280702,127.3333333,22.16666667,2.597402597,,,,,,,,
USA,Wells,43.322155,9,5.556,27.5,0.015272727,116.6666667,20.3,6.666666667,,,,,,,,
USA,Wells,43.322155,10,4.366,29.5,0.012542373,104,26.16666667,0.438912939,,,,,,,,
China,LZ,20.9,1,7.26,12.75,0.010196078,173,27.025,4.752797297,,,,,,,,
China,LZ,20.9,2,12.97,16.335,0.013468013,179.3333333,21.05,5.68282697,,,,,,,,
China,LZ,20.9,3,5.33,10.9225,0.014648661,143.6666667,21.3,1.96031746,,,,,,,,
